country,year,womenJobCategory,womenPercents,menJobCategory,menPercents
Afghanistan,1990,Service,0,Service,0
Afghanistan,1990,Industry,0,Industry,0
Afghanistan,1990,Agriculture,0,Agriculture,0
Afghanistan,1991,Service,9.06000042,Service,26.82999992
Afghanistan,1991,Industry,14.56000042,Industry,12.05000019
Afghanistan,1991,Agriculture,76.37999725,Agriculture,61.11999893
Afghanistan,1992,Service,9.199999809,Service,26.78000069
Afghanistan,1992,Industry,14.39999962,Industry,11.82999992
Afghanistan,1992,Agriculture,76.41000366,Agriculture,61.40000153
Afghanistan,1993,Service,9.329999924,Service,26.60000038
Afghanistan,1993,Industry,13.90999985,Industry,11.15999985
Afghanistan,1993,Agriculture,76.76000214,Agriculture,62.24000168
Afghanistan,1994,Service,9.619999886,Service,26.59000015
Afghanistan,1994,Industry,14.05000019,Industry,11.03999996
Afghanistan,1994,Agriculture,76.33999634,Agriculture,62.36999893
Afghanistan,1995,Service,9.56000042,Service,26.72999954
Afghanistan,1995,Industry,13.78999996,Industry,11.10999966
Afghanistan,1995,Agriculture,76.65000153,Agriculture,62.15999985
Afghanistan,1996,Service,9.609999657,Service,26.76000023
Afghanistan,1996,Industry,13.35000038,Industry,10.68999958
Afghanistan,1996,Agriculture,77.05000305,Agriculture,62.54999924
Afghanistan,1997,Service,9.670000076,Service,26.82999992
Afghanistan,1997,Industry,12.93000031,Industry,10.31000042
Afghanistan,1997,Agriculture,77.41000366,Agriculture,62.86000061
Afghanistan,1998,Service,9.75,Service,26.95999908
Afghanistan,1998,Industry,12.5,Industry,9.970000267
Afghanistan,1998,Agriculture,77.75,Agriculture,63.08000183
Afghanistan,1999,Service,9.81000042,Service,27.09000015
Afghanistan,1999,Industry,12.01000023,Industry,9.600000381
Afghanistan,1999,Agriculture,78.19000244,Agriculture,63.31000137
Afghanistan,2000,Service,9.819999695,Service,27.19000053
Afghanistan,2000,Industry,11.39000034,Industry,9.159999847
Afghanistan,2000,Agriculture,78.79000092,Agriculture,63.65000153
Afghanistan,2001,Service,9.770000458,Service,27.27000046
Afghanistan,2001,Industry,10.59000015,Industry,8.710000038
Afghanistan,2001,Agriculture,79.63999939,Agriculture,64.01999664
Afghanistan,2002,Service,9.840000153,Service,28.29000092
Afghanistan,2002,Industry,11.43000031,Industry,9.75
Afghanistan,2002,Agriculture,78.72000122,Agriculture,61.97000122
Afghanistan,2003,Service,10.10000038,Service,28.70999908
Afghanistan,2003,Industry,11.52000046,Industry,10.14999962
Afghanistan,2003,Agriculture,78.38999939,Agriculture,61.15000153
Afghanistan,2004,Service,9.979999542,Service,28.96999931
Afghanistan,2004,Industry,11.06999969,Industry,10.52000046
Afghanistan,2004,Agriculture,78.95999908,Agriculture,60.50999832
Afghanistan,2005,Service,10.38000011,Service,29.40999985
Afghanistan,2005,Industry,11.52999973,Industry,11.28999996
Afghanistan,2005,Agriculture,78.08999634,Agriculture,59.29999924
Afghanistan,2006,Service,10.56999969,Service,29.81999969
Afghanistan,2006,Industry,11.80000019,Industry,11.78999996
Afghanistan,2006,Agriculture,77.63999939,Agriculture,58.38999939
Afghanistan,2007,Service,10.93000031,Service,30.60000038
Afghanistan,2007,Industry,12.68999958,Industry,12.10999966
Afghanistan,2007,Agriculture,76.37999725,Agriculture,57.29000092
Afghanistan,2008,Service,10.92000008,Service,31.23999977
Afghanistan,2008,Industry,12.92000008,Industry,12.39999962
Afghanistan,2008,Agriculture,76.16000366,Agriculture,56.36000061
Afghanistan,2009,Service,10.97000027,Service,32.68000031
Afghanistan,2009,Industry,14.81000042,Industry,13.43000031
Afghanistan,2009,Agriculture,74.22000122,Agriculture,53.88999939
Afghanistan,2010,Service,10.64999962,Service,34.27000046
Afghanistan,2010,Industry,16.44000053,Industry,14.34000015
Afghanistan,2010,Agriculture,72.90000153,Agriculture,51.38999939
Afghanistan,2011,Service,10.30000019,Service,35.50999832
Afghanistan,2011,Industry,17.29999924,Industry,14.28999996
Afghanistan,2011,Agriculture,72.41000366,Agriculture,50.20000076
Afghanistan,2012,Service,10.06999969,Service,37.00999832
Afghanistan,2012,Industry,18.97999954,Industry,15.18000031
Afghanistan,2012,Agriculture,70.94999695,Agriculture,47.81000137
Afghanistan,2013,Service,9.899999619,Service,38.52999878
Afghanistan,2013,Industry,20.11000061,Industry,15.59000015
Afghanistan,2013,Agriculture,69.98999786,Agriculture,45.88000107
Afghanistan,2014,Service,9.729999542,Service,40.02999878
Afghanistan,2014,Industry,21.09000015,Industry,15.88000011
Afghanistan,2014,Agriculture,69.18000031,Agriculture,44.09000015
Afghanistan,2015,Service,9.529999733,Service,41.56999969
Afghanistan,2015,Industry,21.87999916,Industry,16.12999916
Afghanistan,2015,Agriculture,68.59999847,Agriculture,42.29999924
Afghanistan,2016,Service,9.510000229,Service,43.34999847
Afghanistan,2016,Industry,22.94000053,Industry,15.98999977
Afghanistan,2016,Agriculture,67.55999756,Agriculture,40.65999985
Afghanistan,2017,Service,9.5,Service,45.20000076
Afghanistan,2017,Industry,24.28000069,Industry,16.44000053
Afghanistan,2017,Agriculture,66.22000122,Agriculture,38.36000061
Afghanistan,2018,Service,9.720000267,Service,45.84999847
Afghanistan,2018,Industry,24.51000023,Industry,16.88999939
Afghanistan,2018,Agriculture,65.76999664,Agriculture,37.25999832
Afghanistan,2019,Service,10.02000046,Service,46.54999924
Afghanistan,2019,Industry,25.02000046,Industry,16.85000038
Afghanistan,2019,Agriculture,64.95999908,Agriculture,36.59999847
Afghanistan,2020,Service,0,Service,0
Afghanistan,2020,Industry,0,Industry,0
Afghanistan,2020,Agriculture,0,Agriculture,0
Afghanistan,2021,Service,0,Service,0
Afghanistan,2021,Industry,0,Industry,0
Afghanistan,2021,Agriculture,0,Agriculture,0
Australia,1990,Service,0,Service,0
Australia,1990,Industry,0,Industry,0
Australia,1990,Agriculture,0,Agriculture,0
Australia,1991,Service,84.08000183,Service,61.84999847
Australia,1991,Industry,12.07999992,Industry,31.70999908
Australia,1991,Agriculture,3.849999905,Agriculture,6.440000057
Australia,1992,Service,84.66000366,Service,62.18000031
Australia,1992,Industry,11.72999954,Industry,31.70999908
Australia,1992,Agriculture,3.609999895,Agriculture,6.110000134
Australia,1993,Service,84.51000214,Service,62.11999893
Australia,1993,Industry,11.86999989,Industry,31.67000008
Australia,1993,Agriculture,3.619999886,Agriculture,6.210000038
Australia,1994,Service,84.90000153,Service,62.36000061
Australia,1994,Industry,11.57999992,Industry,31.71999931
Australia,1994,Agriculture,3.519999981,Agriculture,5.920000076
Australia,1995,Service,85.33999634,Service,63.04000092
Australia,1995,Industry,11.17000008,Industry,31.21999931
Australia,1995,Agriculture,3.49000001,Agriculture,5.739999771
Australia,1996,Service,85.72000122,Service,63.45999908
Australia,1996,Industry,10.89000034,Industry,30.61000061
Australia,1996,Agriculture,3.390000105,Agriculture,5.940000057
Australia,1997,Service,85.87000275,Service,63.68000031
Australia,1997,Industry,10.65999985,Industry,30.31999969
Australia,1997,Agriculture,3.470000029,Agriculture,6
Australia,1998,Service,86.37000275,Service,63.95999908
Australia,1998,Industry,10.18000031,Industry,30.12999916
Australia,1998,Agriculture,3.450000048,Agriculture,5.909999847
Australia,1999,Service,86.58999634,Service,64.22000122
Australia,1999,Industry,9.909999847,Industry,29.76000023
Australia,1999,Agriculture,3.5,Agriculture,6.03000021
Australia,2000,Service,86.33999634,Service,63.56999969
Australia,2000,Industry,10.22999954,Industry,30.46999931
Australia,2000,Agriculture,3.430000067,Agriculture,5.960000038
Australia,2001,Service,87.04000092,Service,64.62000275
Australia,2001,Industry,9.510000229,Industry,29.59000015
Australia,2001,Agriculture,3.450000048,Agriculture,5.789999962
Australia,2002,Service,87.44000244,Service,64.63999939
Australia,2002,Industry,9.529999733,Industry,29.92000008
Australia,2002,Agriculture,3.029999971,Agriculture,5.449999809
Australia,2003,Service,87.83999634,Service,65.11000061
Australia,2003,Industry,9.539999962,Industry,29.95000076
Australia,2003,Agriculture,2.619999886,Agriculture,4.940000057
Australia,2004,Service,87.95999908,Service,64.75
Australia,2004,Industry,9.359999657,Industry,30.68000031
Australia,2004,Agriculture,2.680000067,Agriculture,4.579999924
Australia,2005,Service,88.23999786,Service,64.87000275
Australia,2005,Industry,9.31000042,Industry,30.64999962
Australia,2005,Agriculture,2.450000048,Agriculture,4.489999771
Australia,2006,Service,88.56999969,Service,64.55000305
Australia,2006,Industry,9.069999695,Industry,31.18000031
Australia,2006,Agriculture,2.359999895,Agriculture,4.269999981
Australia,2007,Service,88.87000275,Service,64.68000031
Australia,2007,Industry,8.859999657,Industry,31.14999962
Australia,2007,Agriculture,2.269999981,Agriculture,4.170000076
Australia,2008,Service,88.47000122,Service,64.15000153
Australia,2008,Industry,9.31000042,Industry,31.65999985
Australia,2008,Agriculture,2.220000029,Agriculture,4.190000057
Australia,2009,Service,88.88999939,Service,64.66000366
Australia,2009,Industry,8.899999619,Industry,31.27000046
Australia,2009,Agriculture,2.220000029,Agriculture,4.079999924
Australia,2010,Service,89.09999847,Service,64.90000153
Australia,2010,Industry,8.609999657,Industry,31.10000038
Australia,2010,Agriculture,2.279999971,Agriculture,4.010000229
Australia,2011,Service,89.58000183,Service,65.44000244
Australia,2011,Industry,8.529999733,Industry,30.96999931
Australia,2011,Agriculture,1.889999986,Agriculture,3.589999914
Australia,2012,Service,89.72000122,Service,65.5
Australia,2012,Industry,8.359999657,Industry,30.95999908
Australia,2012,Agriculture,1.919999957,Agriculture,3.539999962
Australia,2013,Service,90.02999878,Service,65.94999695
Australia,2013,Industry,8.300000191,Industry,30.62999916
Australia,2013,Agriculture,1.669999957,Agriculture,3.410000086
Australia,2014,Service,90.05999756,Service,65.84999847
Australia,2014,Industry,8.109999657,Industry,30.53000069
Australia,2014,Agriculture,1.830000043,Agriculture,3.619999886
Australia,2015,Service,90.48999786,Service,67.34999847
Australia,2015,Industry,7.659999847,Industry,29.34000015
Australia,2015,Agriculture,1.850000024,Agriculture,3.309999943
Australia,2016,Service,90.41999817,Service,67.41000366
Australia,2016,Industry,7.900000095,Industry,29.17000008
Australia,2016,Agriculture,1.679999948,Agriculture,3.430000067
Australia,2017,Service,90.72000122,Service,66.98999786
Australia,2017,Industry,7.630000114,Industry,29.60000038
Australia,2017,Agriculture,1.649999976,Agriculture,3.410000086
Australia,2018,Service,90.18000031,Service,66.48000336
Australia,2018,Industry,8.149999619,Industry,30.09000015
Australia,2018,Agriculture,1.679999948,Agriculture,3.440000057
Australia,2019,Service,90.83000183,Service,67.54000092
Australia,2019,Industry,7.449999809,Industry,29.17000008
Australia,2019,Agriculture,1.710000038,Agriculture,3.289999962
Australia,2020,Service,0,Service,0
Australia,2020,Industry,0,Industry,0
Australia,2020,Agriculture,0,Agriculture,0
Australia,2021,Service,0,Service,0
Australia,2021,Industry,0,Industry,0
Australia,2021,Agriculture,0,Agriculture,0
Bangladesh,1990,Service,0,Service,0
Bangladesh,1990,Industry,0,Industry,0
Bangladesh,1990,Agriculture,0,Agriculture,0
Bangladesh,1991,Service,1.610000014,Service,20.88999939
Bangladesh,1991,Industry,7.75,Industry,15.10000038
Bangladesh,1991,Agriculture,90.65000153,Agriculture,64.01000214
Bangladesh,1992,Service,2.349999905,Service,22.60000038
Bangladesh,1992,Industry,7.769999981,Industry,14.01000023
Bangladesh,1992,Agriculture,89.88999939,Agriculture,63.38000107
Bangladesh,1993,Service,3.440000057,Service,24.40999985
Bangladesh,1993,Industry,7.769999981,Industry,12.97000027
Bangladesh,1993,Agriculture,88.80000305,Agriculture,62.61999893
Bangladesh,1994,Service,5.019999981,Service,26.20999908
Bangladesh,1994,Industry,7.710000038,Industry,11.97000027
Bangladesh,1994,Agriculture,87.26999664,Agriculture,61.81999969
Bangladesh,1995,Service,7.230000019,Service,28.04000092
Bangladesh,1995,Industry,7.619999886,Industry,11.15999985
Bangladesh,1995,Agriculture,85.15000153,Agriculture,60.79999924
Bangladesh,1996,Service,10.27000046,Service,29.84000015
Bangladesh,1996,Industry,7.460000038,Industry,10.42000008
Bangladesh,1996,Agriculture,82.26999664,Agriculture,59.74000168
Bangladesh,1997,Service,10.97000027,Service,29.19000053
Bangladesh,1997,Industry,7.550000191,Industry,10.60999966
Bangladesh,1997,Agriculture,81.48000336,Agriculture,60.20000076
Bangladesh,1998,Service,11.60000038,Service,28.69000053
Bangladesh,1998,Industry,7.75,Industry,10.85000038
Bangladesh,1998,Agriculture,80.65000153,Agriculture,60.45999908
Bangladesh,1999,Service,12.15999985,Service,28.27000046
Bangladesh,1999,Industry,8.06000042,Industry,11.06999969
Bangladesh,1999,Agriculture,79.79000092,Agriculture,60.65999985
Bangladesh,2000,Service,12.56999969,Service,27.96999931
Bangladesh,2000,Industry,8.640000343,Industry,11.30000019
Bangladesh,2000,Agriculture,78.77999878,Agriculture,60.72999954
Bangladesh,2001,Service,13.47999954,Service,30.20000076
Bangladesh,2001,Industry,8.920000076,Industry,11.88000011
Bangladesh,2001,Agriculture,77.59999847,Agriculture,57.90999985
Bangladesh,2002,Service,14.5,Service,32.52000046
Bangladesh,2002,Industry,9.350000381,Industry,12.42000008
Bangladesh,2002,Agriculture,76.15000153,Agriculture,55.06000137
Bangladesh,2003,Service,15.57999992,Service,34.97999954
Bangladesh,2003,Industry,9.920000076,Industry,13.02000046
Bangladesh,2003,Agriculture,74.5,Agriculture,52
Bangladesh,2004,Service,16.72999954,Service,37.49000168
Bangladesh,2004,Industry,10.64000034,Industry,13.68000031
Bangladesh,2004,Agriculture,72.62999725,Agriculture,48.83000183
Bangladesh,2005,Service,17.93000031,Service,40.11999893
Bangladesh,2005,Industry,11.52000046,Industry,14.46000004
Bangladesh,2005,Agriculture,70.55000305,Agriculture,45.41999817
Bangladesh,2006,Service,19.28000069,Service,42.83000183
Bangladesh,2006,Industry,12.47999954,Industry,15.13000011
Bangladesh,2006,Agriculture,68.23999786,Agriculture,42.04000092
Bangladesh,2007,Service,19.70000076,Service,42.16999817
Bangladesh,2007,Industry,12.64000034,Industry,16.10000038
Bangladesh,2007,Agriculture,67.66000366,Agriculture,41.72999954
Bangladesh,2008,Service,20.20000076,Service,41.40999985
Bangladesh,2008,Industry,12.77000046,Industry,17.09000015
Bangladesh,2008,Agriculture,67.02999878,Agriculture,41.5
Bangladesh,2009,Service,20.76000023,Service,40.56000137
Bangladesh,2009,Industry,12.86999989,Industry,18.07999992
Bangladesh,2009,Agriculture,66.37000275,Agriculture,41.36000061
Bangladesh,2010,Service,21.38999939,Service,39.75999832
Bangladesh,2010,Industry,13.02000046,Industry,19.20999908
Bangladesh,2010,Agriculture,65.58999634,Agriculture,41.02999878
Bangladesh,2011,Service,21.07999992,Service,40.36000061
Bangladesh,2011,Industry,13.46000004,Industry,19.69000053
Bangladesh,2011,Agriculture,65.44999695,Agriculture,39.95000076
Bangladesh,2012,Service,20.85000038,Service,40.93000031
Bangladesh,2012,Industry,13.92000008,Industry,20.20000076
Bangladesh,2012,Agriculture,65.23999786,Agriculture,38.86999893
Bangladesh,2013,Service,20.69000053,Service,41.43999863
Bangladesh,2013,Industry,14.39000034,Industry,20.69000053
Bangladesh,2013,Agriculture,64.93000031,Agriculture,37.86999893
Bangladesh,2014,Service,20.62000084,Service,42.02999878
Bangladesh,2014,Industry,14.86999989,Industry,21.12999916
Bangladesh,2014,Agriculture,64.51000214,Agriculture,36.84000015
Bangladesh,2015,Service,20.61000061,Service,42.59000015
Bangladesh,2015,Industry,15.38000011,Industry,21.69000053
Bangladesh,2015,Agriculture,64.01000214,Agriculture,35.72999954
Bangladesh,2016,Service,20.65999985,Service,43.13000107
Bangladesh,2016,Industry,15.92000008,Industry,22.21999931
Bangladesh,2016,Agriculture,63.43000031,Agriculture,34.65000153
Bangladesh,2017,Service,23.36000061,Service,45.5
Bangladesh,2017,Industry,16.76000023,Industry,21.95000076
Bangladesh,2017,Agriculture,59.88999939,Agriculture,32.56000137
Bangladesh,2018,Service,24.17000008,Service,46.33000183
Bangladesh,2018,Industry,17.18000031,Industry,22.37999916
Bangladesh,2018,Agriculture,58.65000153,Agriculture,31.29000092
Bangladesh,2019,Service,24.77000046,Service,46.99000168
Bangladesh,2019,Industry,17.65999985,Industry,22.87000084
Bangladesh,2019,Agriculture,57.56999969,Agriculture,30.13999939
Bangladesh,2020,Service,0,Service,0
Bangladesh,2020,Industry,0,Industry,0
Bangladesh,2020,Agriculture,0,Agriculture,0
Bangladesh,2021,Service,0,Service,0
Bangladesh,2021,Industry,0,Industry,0
Bangladesh,2021,Agriculture,0,Agriculture,0
Bhutan,1990,Service,0,Service,0
Bhutan,1990,Industry,0,Industry,0
Bhutan,1990,Agriculture,0,Agriculture,0
Bhutan,1991,Service,16.56999969,Service,29.61000061
Bhutan,1991,Industry,4.980000019,Industry,6.449999809
Bhutan,1991,Agriculture,78.44999695,Agriculture,63.93999863
Bhutan,1992,Service,16.71999931,Service,29.80999947
Bhutan,1992,Industry,4.980000019,Industry,6.53000021
Bhutan,1992,Agriculture,78.29000092,Agriculture,63.66999817
Bhutan,1993,Service,16.88999939,Service,29.98999977
Bhutan,1993,Industry,4.96999979,Industry,6.559999943
Bhutan,1993,Agriculture,78.15000153,Agriculture,63.45000076
Bhutan,1994,Service,17.05999947,Service,30.21999931
Bhutan,1994,Industry,4.96999979,Industry,6.650000095
Bhutan,1994,Agriculture,77.97000122,Agriculture,63.13000107
Bhutan,1995,Service,17.20000076,Service,30.5
Bhutan,1995,Industry,4.96999979,Industry,6.75
Bhutan,1995,Agriculture,77.83000183,Agriculture,62.75
Bhutan,1996,Service,17.54999924,Service,30.92000008
Bhutan,1996,Industry,5.010000229,Industry,6.829999924
Bhutan,1996,Agriculture,77.44000244,Agriculture,62.25
Bhutan,1997,Service,17.87999916,Service,31.22999954
Bhutan,1997,Industry,5.010000229,Industry,6.920000076
Bhutan,1997,Agriculture,77.11000061,Agriculture,61.84999847
Bhutan,1998,Service,18.20999908,Service,31.5
Bhutan,1998,Industry,5,Industry,7.050000191
Bhutan,1998,Agriculture,76.79000092,Agriculture,61.45000076
Bhutan,1999,Service,18.54999924,Service,31.82999992
Bhutan,1999,Industry,5.03000021,Industry,7.329999924
Bhutan,1999,Agriculture,76.41999817,Agriculture,60.84000015
Bhutan,2000,Service,19.05999947,Service,32.20000076
Bhutan,2000,Industry,5.139999866,Industry,7.730000019
Bhutan,2000,Agriculture,75.80000305,Agriculture,60.06999969
Bhutan,2001,Service,19.51000023,Service,32.54000092
Bhutan,2001,Industry,5.25,Industry,8.210000038
Bhutan,2001,Agriculture,75.23999786,Agriculture,59.25
