Country Name,Year,"Educational attainment, at least Bachelor's or equivalent, population 25+, female (%) (cumulative)","Educational attainment, at least Bachelor's or equivalent, population 25+, male (%) (cumulative)","Educational attainment, at least Bachelor's or equivalent, population 25+, total (%) (cumulative)",Employment in agriculture (% of total employment) (modeled ILO estimate),"Employment in agriculture, female (% of female employment) (modeled ILO estimate)","Employment in agriculture, male (% of male employment) (modeled ILO estimate)",Employment in industry (% of total employment) (modeled ILO estimate),"Employment in industry, female (% of female employment) (modeled ILO estimate)","Employment in industry, male (% of male employment) (modeled ILO estimate)",Employment in services (% of total employment) (modeled ILO estimate),"Employment in services, female (% of female employment) (modeled ILO estimate)","Employment in services, male (% of male employment) (modeled ILO estimate)","Employment to population ratio, 15+, female (%) (modeled ILO estimate)","Female share of graduates in Agriculture, Forestry, Fisheries and Veterinary programmes, tertiary (%)","Informal employment, female (% of total non-agricultural employment)","Informal employment, male (% of total non-agricultural employment)","Labor force participation rate, female (% of female population ages 15+) (modeled ILO estimate)","Labor force participation rate, female (% of female population ages 15-64) (modeled ILO estimate)","Labor force participation rate, male (% of male population ages 15+) (modeled ILO estimate)","Labor force participation rate, male (% of male population ages 15-64) (modeled ILO estimate)","Labor force participation rate, total (% of total population ages 15+) (modeled ILO estimate)","Labor force participation rate, total (% of total population ages 15-64) (modeled ILO estimate)",Labor force with advanced education (% of total working-age population with advanced education),"Labor force with advanced education, female (% of female working-age population with advanced education)","Labor force with advanced education, male (% of male working-age population with advanced education)","Labor force, female","Labor force, female (% of total labor force)","Labor force, male","Labor force, total","Literacy rate, adult female (% of females ages 15 and above)","Literacy rate, adult male (% of males ages 15 and above)","Literacy rate, adult total (% of people ages 15 and above)","Population ages 15-64, female","Population ages 15-64, male","Population ages 15-64, total",Ratio of female to male labor force participation rate (%) (modeled ILO estimate),Ratio of female to male labor force participation rate (%) (national estimate)
Afghanistan,1990,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,15.18000031,15.83,77.43000031,81.01,46.83800125,49.07,..,..,..,478638,15.92702501,2526587,3005194,..,..,..,3008042,3130991,6139034,19.60480466,..
Afghanistan,1991,..,..,..,63.43000031,76.37999725,61.11999893,12.43000031,14.56000042,12.05000019,24.13999939,9.06000042,26.82999992,13.1420002,..,..,..,15.21399975,15.89,77.1760025,80.92,46.85699844,49.19,..,..,..,512664,15.88746411,2714200,3226846,..,..,..,3214481,3373893,6588374,19.71338143,..
Afghanistan,1992,..,..,..,63.65000153,76.41000366,61.40000153,12.21000004,14.39999962,11.82999992,24.13999939,9.199999809,26.78000069,13.11999989,..,..,..,15.22299957,15.92,76.8710022,80.82,46.86000061,49.31,..,..,..,556817,15.81487729,2963971,3520843,..,..,..,3488721,3697529,7186256,19.80330572,..
Afghanistan,1993,..,..,..,64.41000366,76.76000214,62.24000168,11.56999969,13.90999985,11.15999985,24.03000069,9.329999924,26.60000038,13.11299992,..,..,..,15.19699955,15.91,76.58000183,80.7,46.8370018,49.39,..,..,..,604609,15.72195489,3240990,3845635,..,..,..,3793437,4056078,7849519,19.84460588,..
Afghanistan,1994,..,..,..,64.44000244,76.33999634,62.36999893,11.47999954,14.05000019,11.03999996,24.07999992,9.619999886,26.59000015,13.09500027,..,..,..,15.17800045,15.88,76.33000183,80.56,46.79800034,49.41,..,..,..,650579,15.66243451,3503215,4153754,..,..,..,4084861,4395270,8480128,19.88471124,..
Afghanistan,1995,..,..,..,64.30000305,76.65000153,62.15999985,11.51000023,13.78999996,11.10999966,24.19000053,9.56000042,26.72999954,13.05500031,..,..,..,15.22099972,15.92,76.10199738,80.38,46.75899887,49.38,..,..,..,693306,15.6895643,3725528,4418899,..,..,..,4337642,4683813,9021453,20.00078873,..
Afghanistan,1996,..,..,..,64.68000031,77.05000305,62.54999924,11.07999992,13.35000038,10.68999958,24.23999977,9.609999657,26.76000023,12.96700001,..,..,..,15.07800007,15.75,76.13999939,80.41,46.69800186,49.31,..,..,..,711759,15.5682112,3860131,4571874,..,..,..,4493940,4849664,9343589,19.80299473,..
Afghanistan,1997,..,..,..,64.98000336,77.41000366,62.86000061,10.68999958,12.93000031,10.31000042,24.32999992,9.670000076,26.82999992,12.88899994,..,..,..,14.95400047,15.59,76.26200104,80.47,46.65499878,49.22,..,..,..,722205,15.47886524,3943526,4665749,..,..,..,4596996,4946928,9543910,19.60871767,..
Afghanistan,1998,..,..,..,65.19999695,77.75,63.08000183,10.32999992,12.5,9.970000267,24.45999908,9.75,26.95999908,12.81599998,..,..,..,14.87300014,15.47,76.41500092,80.51,46.63600159,49.13,..,..,..,730763,15.43164983,4004744,4735482,..,..,..,4676699,5015263,9691968,19.46345608,..
Afghanistan,1999,..,..,..,65.45999908,78.19000244,63.31000137,9.949999809,12.01000023,9.600000381,24.59000015,9.81000042,27.09000015,12.77499962,..,..,..,14.82699966,15.4,76.5490036,80.54,46.63999939,49.07,..,..,..,743064,15.40484296,4080501,4823574,..,..,..,4770582,5103716,9874319,19.36929152,..
