Series Name,Series Code,Country Name,Country Code,1972 [YR1972],1973 [YR1973],1974 [YR1974],1975 [YR1975],1976 [YR1976],1977 [YR1977],1978 [YR1978],1979 [YR1979],1980 [YR1980],1981 [YR1981],1982 [YR1982],1983 [YR1983],1984 [YR1984],1985 [YR1985],1986 [YR1986],1987 [YR1987],1988 [YR1988],1989 [YR1989],1990 [YR1990],1991 [YR1991],1992 [YR1992],1993 [YR1993],1994 [YR1994],1995 [YR1995],1996 [YR1996],1997 [YR1997],1998 [YR1998],1999 [YR1999],2000 [YR2000],2001 [YR2001],2002 [YR2002],2003 [YR2003],2004 [YR2004],2005 [YR2005],2006 [YR2006],2007 [YR2007],2008 [YR2008],2009 [YR2009],2010 [YR2010],2011 [YR2011],2012 [YR2012],2013 [YR2013],2014 [YR2014],2015 [YR2015],2016 [YR2016],2017 [YR2017],2018 [YR2018],2019 [YR2019],2020 [YR2020],2021 [YR2021]
Labor force with advanced education (% of total working-age population with advanced education),SL.TLF.ADVN.ZS,Afghanistan,AFG,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,84.2900009155273,..,..,64.6800003051758,..,..,57.75,..
Labor force with advanced education (% of total working-age population with advanced education),SL.TLF.ADVN.ZS,Australia,AUS,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,86.7200012207031,86.3300018310547,86.6399993896484,86.8600006103516,82.5800018310547,81.2799987792969,82.0899963378906,81.4199981689453,81.8000030517578,..,..,..,..
Labor force with advanced education (% of total working-age population with advanced education),SL.TLF.ADVN.ZS,Bangladesh,BGD,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,72.5800018310547,..,..,..,85.8399963378906,..,..,80.0899963378906,..,..,77.5199966430664,79.6399993896484,..,..,..,..
Labor force with advanced education (% of total working-age population with advanced education),SL.TLF.ADVN.ZS,Bhutan,BTN,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,57.8199996948242,63.0400009155273,..,..,..,..,..,..
Labor force with advanced education (% of total working-age population with advanced education),SL.TLF.ADVN.ZS,Cambodia,KHM,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,60.8800010681152,58.3600006103516,..,..,..,..,..,79.2900009155273,73.6500015258789,65.8199996948242,89.3399963378906,93.9400024414063,94.5999984741211,80.5800018310547,63.0699996948242,75.9499969482422,79.6600036621094,79.1900024414063,..,72.8000030517578,..,..
Labor force with advanced education (% of total working-age population with advanced education),SL.TLF.ADVN.ZS,China,CHN,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Labor force with advanced education (% of total working-age population with advanced education),SL.TLF.ADVN.ZS,"Hong Kong SAR, China",HKG,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,75.8600006103516,76.129997253418,77.629997253418,77.2699966430664,76.6100006103516,76.0100021362305,76.5500030517578,76.1800003051758,76.6699981689453,76.4700012207031,76.2799987792969,76.6699981689453,..
Labor force with advanced education (% of total working-age population with advanced education),SL.TLF.ADVN.ZS,India,IND,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,72.2699966430664,..,..,..,..,..,69.2099990844727,..,..,..,..,67.2799987792969,..,..,..,..,62.7400016784668,..,63.2000007629395,..,..,..,..,..,59.939998626709,59.8300018310547,61.1599998474121,..
Labor force with advanced education (% of total working-age population with advanced education),SL.TLF.ADVN.ZS,Indonesia,IDN,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,86.0800018310547,87.0899963378906,86.75,86.0199966430664,85.879997253418,..,86.0500030517578,89.0299987792969,86.8499984741211,87.8600006103516,87.2600021362305,79.7399978637695,86.0699996948242,78.8399963378906,79.5500030517578,87.2399978637695,85.2099990844727,80.4700012207031,84.379997253418,79.8399963378906,84.0100021362305,85.4499969482422,87.9199981689453,86.6100006103516,86.4100036621094,85.620002746582,85.5899963378906,84.870002746582,81.8600006103516,84.0800018310547,82.2600021362305,..
Labor force with advanced education (% of total working-age population with advanced education),SL.TLF.ADVN.ZS,Japan,JPN,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,76.8899993896484,77.5100021362305,..,77.5599975585938,77.7200012207031,78.0999984741211,78.3300018310547,79.0899963378906,78.629997253418,..
