country,year,"Population ages 15-64, female","Population ages 15-64, male",menNotWorking,womenNotWorking,workingMen,workingMenWithAdv,workingMenWithoutAdv,workingWomen,workingWomenWithAdv,workingWomenWithoutAdv
Afghanistan,1990,3008042,3130991,594575,2531868,2536415,1551018,985397,476173,198992,277180
Afghanistan,1991,3214481,3373893,643738,2703699,2730154,1696790,1033363,510781,218563,292217
Afghanistan,1992,3488721,3697529,709186,2933316,2988342,1887138,1101204,555404,243211,312192
Afghanistan,1993,3793437,4056078,782823,3189901,3273254,2099793,1173461,603535,270323,333212
Afghanistan,1994,4084861,4395270,854440,3436185,3540829,2306850,1233979,648675,297028,351647
Afghanistan,1995,4337642,4683813,918964,3647089,3764848,2490447,1274401,690552,323109,367443
Afghanistan,1996,4493940,4849664,950049,3786144,3899614,2618591,1281023,707795,338255,369540
Afghanistan,1997,4596996,4946928,966135,3880324,3980792,2712910,1267882,716671,349664,367007
Afghanistan,1998,4676699,5015263,977474,3953213,4037788,2792130,1245657,723485,360223,363261
Afghanistan,1999,4770582,5103716,993183,4035912,4110532,2883538,1226993,734669,373138,361530
Afghanistan,2000,4901895,5241777,1018477,4149454,4223299,3004877,1218421,752440,389689,362751
Afghanistan,2001,5097016,5469968,1064455,4306978,4405512,3178577,1226935,790037,417060,372976
Afghanistan,2002,5339888,5756830,1120854,4501525,4635975,3391215,1244759,838362,450955,387407
Afghanistan,2003,5610866,6074051,1182010,4717616,4892040,3627448,1264592,893249,489411,403838
Afghanistan,2004,5883477,6384124,1239796,4934472,5144327,3865961,1278365,949004,529449,419555
Afghanistan,2005,6140838,6663946,1289473,5138039,5374472,4092660,1281811,1002798,569489,433309
Afghanistan,2006,6325599,6827106,1315583,5305912,5511522,4252139,1259382,1019686,589276,430409
Afghanistan,2007,6487043,6955667,1334792,5454954,5620874,4392713,1228160,1032088,606764,425323
Afghanistan,2008,6642357,7076163,1356500,5596850,5719662,4527112,1192549,1045506,625108,420398
Afghanistan,2009,6815683,7223804,1388415,5749028,5835388,4677064,1158324,1066654,648419,418235
Afghanistan,2010,7023445,7421549,1437554,5924275,5983994,4856012,1127982,1099169,679176,419992
Afghanistan,2011,7302694,7739084,1517634,6134262,6221449,5110920,1110528,1168431,733657,434773
Afghanistan,2012,7627967,8115940,1612637,6373929,6503302,5407496,1095806,1254037,799950,454087
Afghanistan,2013,7986446,8533346,1755309,6595207,6778036,5703718,1074318,1391238,901383,489855
Afghanistan,2014,8358558,8963516,1905643,6815568,7057872,6009778,1048093,1542989,1015133,527856
Afghanistan,2015,8730445,9386355,2060304,7023643,7326050,6311392,1014657,1706801,1139973,566828
Afghanistan,2016,9076529,9750113,2210350,7197687,7539762,6570903,968859,1878841,1273666,605174
Afghanistan,2017,9413852,10100169,2365459,7351277,7734709,5422804,2311904,2062574,1003236,1059338
Afghanistan,2018,9749017,10444644,2453446,7573036,7991197,5602628,2388568,2175980,1058396,1117583
Afghanistan,2019,10092939,10796549,2543666,7797804,8252882,5786095,2466786,2295134,1116353,1178781
Afghanistan,2020,10452059,11164198,2630285,8075260,8533912,5558990,2974922,2376798,808824,1567973
Afghanistan,2021,0,0,0,0,0,0,0,0,0,0
Australia,1990,5639885,5768446,860652,2148796,4907793,3621461,1286332,3491088,2254894,1236194
Australia,1991,5717357,5838769,921941,2192034,4916827,3677295,1239532,3525322,2312258,1213063
Australia,1992,5785445,5897865,957813,2211775,4940051,3744065,1195986,3573669,2379706,1193963
Australia,1993,5836820,5940389,983134,2238420,4957254,3806675,1150578,3598399,2432158,1166241
Australia,1994,5895272,5992925,985236,2191862,5007688,3895480,1112207,3703409,2540168,1163241
Australia,1995,5967588,6063414,978028,2144751,5085385,4006775,1078610,3822836,2660312,1162524
Australia,1996,6047344,6139636,996462,2157087,5143173,4103737,1039435,3890256,2746131,1144124
Australia,1997,6120089,6211878,1044837,2196499,5167040,4174451,992588,3923589,2808897,1114691
Australia,1998,6191662,6284158,1070820,2215995,5213337,4263988,949348,3975666,2885935,1089730
Australia,1999,6270338,6362444,1107065,2242272,5255378,4350928,904450,4028065,2964252,1063812
Australia,2000,6351741,6441298,1130447,2202148,5310850,4449961,860888,4149592,3095180,1054411
Australia,2001,6452508,6540220,1157618,2193207,5382601,4563907,818693,4259300,3219605,1039695
Australia,2002,6546361,6629516,1176739,2210051,5452776,4677937,774839,4336309,3321179,1015130
Australia,2003,6640925,6719456,1206814,2185528,5512641,4784421,728219,4455396,3456942,998454
Australia,2004,6728928,6805811,1220281,2234676,5585529,4903536,681993,4494251,3532031,962219
Australia,2005,6824299,6904284,1197202,2168079,5707081,5067317,639763,4656219,3705884,950334
Australia,2006,6940314,7027265,1215014,2159131,5812250,5218820,593430,4781182,3853154,928027
Australia,2007,6993095,7090020,1211684,2136390,5878335,5336940,541394,4856704,3962585,894119
Australia,2008,7136720,7245568,1233920,2142443,6011647,5518091,493556,4994276,4124772,869503
Australia,2009,7280709,7398431,1293985,2174019,6104445,5603270,501174,5106689,4217614,889074
Australia,2010,7385446,7506055,1288789,2217849,6217265,5706827,510437,5167596,4231227,936368
Australia,2011,7469448,7572959,1304820,2207968,6268138,5773582,494556,5261479,4329671,931807
Australia,2012,7584244,7666241,1349258,2248728,6316982,5826784,490197,5335515,4398599,936916
Australia,2013,7698697,7757084,1370676,2277274,6386407,5621954,764453,5421422,4242263,1179159
Australia,2014,7793452,7829949,1399994,2295950,6429954,5558695,871258,5497501,4235274,1262226
Australia,2015,7880342,7899670,1364273,2264022,6535396,5670110,865286,5616319,4393085,1223234
Australia,2016,7965067,7978294,1404179,2258893,6574114,5698442,875671,5706173,4405166,1301007
Australia,2017,8055501,8066288,1397081,2228151,6669206,5752858,916348,5827349,4556987,1270362
Australia,2018,8132842,8144071,1388564,2181228,6755506,5827300,928206,5951613,4654161,1297451
Australia,2019,8212123,8225720,1381920,2149933,6843799,5903461,940337,6062189,4740631,1321557
Australia,2020,8276794,8293954,1393384,2166864,6900569,5952431,948138,6109929,4777964,1331964
Australia,2021,0,0,0,0,0,0,0,0,0,0
Bangladesh,1990,27146881,29353349,3052748,20295008,26300600,18405161,7895439,6851872,1897283,4954589
Bangladesh,1991,27971978,30203312,3162286,20875487,27041025,19193720,7847304,7096490,2035983,5060507
Bangladesh,1992,28826906,31081319,3279079,21461631,27802239,20012053,7790186,7365274,2186749,5178524
Bangladesh,1993,29712464,31989885,3397325,22055562,28592559,20866850,7725708,7656901,2349903,5306998
Bangladesh,1994,30630469,32931586,3526972,22660420,29404613,21753533,7651079,7970048,2525708,5444339
Bangladesh,1995,31582499,33908624,3658740,23273143,30249883,22681363,7568519,8309355,2716328,5593027
Bangladesh,1996,32538514,34869988,3839185,23906046,31030802,23577204,7453597,8632467,2908278,5724189
Bangladesh,1997,33523920,35865345,4024091,24542861,31841253,24511397,7329855,8981058,3115528,5865529
Bangladesh,1998,34531973,36886973,4219869,25180714,32667103,25473808,7193295,9351258,3337463,6013794
Bangladesh,1999,35555931,37925332,4418301,25824272,33507030,26463854,7043176,9731658,3570545,6161113
