country,year,lowerInterval,upperInterval,actualEstimate
Afghanistan,1990,,,0.195407974
Afghanistan,1991,,,0.196366782
Afghanistan,1992,,,0.196980945
Afghanistan,1993,,,0.197149938
Afghanistan,1994,,,0.197120159
Afghanistan,1995,,,0.198059219
Afghanistan,1996,,,0.19587116
Afghanistan,1997,,,0.193736796
Afghanistan,1998,,,0.192150043
Afghanistan,1999,,,0.191209337
Afghanistan,2000,,,0.190517562
Afghanistan,2001,,,0.192450956
Afghanistan,2002,,,0.194958401
Afghanistan,2003,,,0.197665756
Afghanistan,2004,,,0.20017374
Afghanistan,2005,,,0.202479851
Afghanistan,2006,,,0.199677939
Afghanistan,2007,,,0.196881574
Afghanistan,2008,,,0.19472968
Afghanistan,2009,,,0.193736073
Afghanistan,2010,,,0.19409649
Afghanistan,2011,,,0.19902973
Afghanistan,2012,,,0.205166604
Afghanistan,2013,,,0.219312602
Afghanistan,2014,,,0.234442469
Afghanistan,2015,,,0.250480461
Afghanistan,2016,,,0.267683952
Afghanistan,2017,,,0.286106033
Afghanistan,2018,,,0.291726572
Afghanistan,2019,,,0.297488226
Afghanistan,2020,0.302995402,0.331391678,0.31719354
Afghanistan,2021,0.311698039,0.347193384,0.329445712
Afghanistan,2022,0.318969773,0.364425994,0.341697884
Afghanistan,2023,0.3251135,0.38278661,0.353950055
Afghanistan,2024,0.330353685,0.402050768,0.366202227
Afghanistan,2025,0.334836988,0.422071809,0.378454399
Afghanistan,2026,0.338660177,0.442752963,0.39070657
Afghanistan,2027,0.341890241,0.464027243,0.402958742
Afghanistan,2028,0.344576068,0.485845759,0.415210914
Afghanistan,2029,0.346755068,0.508171102,0.427463085
Afghanistan,2030,0.348457007,0.530973507,0.439715257
Afghanistan,2031,0.349706331,0.554228527,0.451967429
Afghanistan,2032,0.350523626,0.577915574,0.4642196
Afghanistan,2033,0.350926587,0.602016957,0.476471772
Afghanistan,2034,0.350930666,0.626517221,0.488723944
Afghanistan,2035,0.350549539,0.651402692,0.500976115
Afghanistan,2036,0.349795444,0.67666113,0.513228287
Afghanistan,2037,0.34867943,0.702281487,0.525480459
Afghanistan,2038,0.34721155,0.72825371,0.53773263
Afghanistan,2039,0.345401012,0.754568592,0.549984802
Australia,1990,,,0.727550541
Australia,1991,,,0.732217076
Australia,1992,,,0.737464183
Australia,1993,,,0.738765728
Australia,1994,,,0.751795117
Australia,1995,,,0.763801121
Australia,1996,,,0.767936015
Australia,1997,,,0.770738158
Australia,1998,,,0.773987464
Australia,1999,,,0.777723971
Australia,2000,,,0.792359005
Australia,2001,,,0.802065614
Australia,2002,,,0.805349544
Australia,2003,,,0.817771819
Australia,2004,,,0.813817473
Australia,2005,,,0.82542947
Australia,2006,,,0.832910168
Australia,2007,,,0.837655289
Australia,2008,,,0.843437387
Australia,2009,,,0.850078778
Australia,2010,,,0.844742243
Australia,2011,,,0.851032983
Australia,2012,,,0.853762136
Australia,2013,,,0.855338273
Australia,2014,,,0.858986849
Australia,2015,,,0.861477094
Australia,2016,,,0.869417476
Australia,2017,,,0.874939526
Australia,2018,,,0.882218204
Australia,2019,,,0.887259615
Australia,2020,0.8821301,0.903022145,0.892576122
Australia,2021,0.886404324,0.90976234,0.898083332
Australia,2022,0.890796829,0.916384254,0.903590541
Australia,2023,0.895278962,0.92291654,0.909097751
Australia,2024,0.899832054,0.929377867,0.91460496
Australia,2025,0.904443136,0.935781203,0.92011217
Australia,2026,0.909102768,0.942135991,0.925619379
Australia,2027,0.91380382,0.948449357,0.931126589
Australia,2028,0.918540757,0.95472684,0.936633798
Australia,2029,0.923309173,0.960972842,0.942141008
Australia,2030,0.928105499,0.967190936,0.947648217
Australia,2031,0.932926791,0.973384062,0.953155427
Australia,2032,0.937770591,0.979554681,0.958662636
Australia,2033,0.942634819,0.985704872,0.964169846
Australia,2034,0.947517695,0.991836415,0.969677055
Australia,2035,0.952417687,0.997950843,0.975184265
Australia,2036,0.957333458,1.00404949,0.980691474
Australia,2037,0.962263839,1.010133528,0.986198683
Australia,2038,0.967207799,1.016203987,0.991705893
Australia,2039,0.972164421,1.022261784,0.997213102
Bangladesh,1990,,,0.281696429
Bangladesh,1991,,,0.283368703
Bangladesh,1992,,,0.285634433
Bangladesh,1993,,,0.288319535
Bangladesh,1994,,,0.291410012
Bangladesh,1995,,,0.294922094
Bangladesh,1996,,,0.298123385
Bangladesh,1997,,,0.301757153
Bangladesh,1998,,,0.305781391
Bangladesh,1999,,,0.309790606
Bangladesh,2000,,,0.313669881
Bangladesh,2001,,,0.316585199
Bangladesh,2002,,,0.319667464
Bangladesh,2003,,,0.32268735
Bangladesh,2004,,,0.325716897
Bangladesh,2005,,,0.328604119
Bangladesh,2006,,,0.330429799
Bangladesh,2007,,,0.338711536
