country,year,womenJobCategory,womenPercents,menJobCategory,menPercents
Afghanistan,1990,femalesInService,0,malesInService,0
Afghanistan,1990,femalesInIndustry,0,malesInIndustry,0
Afghanistan,1990,femalesInAgriculture,0,malesInAgriculture,0
Afghanistan,1991,femalesInService,9.06000042,malesInService,26.82999992
Afghanistan,1991,femalesInIndustry,14.56000042,malesInIndustry,12.05000019
Afghanistan,1991,femalesInAgriculture,76.37999725,malesInAgriculture,61.11999893
Afghanistan,1992,femalesInService,9.199999809,malesInService,26.78000069
Afghanistan,1992,femalesInIndustry,14.39999962,malesInIndustry,11.82999992
Afghanistan,1992,femalesInAgriculture,76.41000366,malesInAgriculture,61.40000153
Afghanistan,1993,femalesInService,9.329999924,malesInService,26.60000038
Afghanistan,1993,femalesInIndustry,13.90999985,malesInIndustry,11.15999985
Afghanistan,1993,femalesInAgriculture,76.76000214,malesInAgriculture,62.24000168
Afghanistan,1994,femalesInService,9.619999886,malesInService,26.59000015
Afghanistan,1994,femalesInIndustry,14.05000019,malesInIndustry,11.03999996
Afghanistan,1994,femalesInAgriculture,76.33999634,malesInAgriculture,62.36999893
Afghanistan,1995,femalesInService,9.56000042,malesInService,26.72999954
Afghanistan,1995,femalesInIndustry,13.78999996,malesInIndustry,11.10999966
Afghanistan,1995,femalesInAgriculture,76.65000153,malesInAgriculture,62.15999985
Afghanistan,1996,femalesInService,9.609999657,malesInService,26.76000023
Afghanistan,1996,femalesInIndustry,13.35000038,malesInIndustry,10.68999958
Afghanistan,1996,femalesInAgriculture,77.05000305,malesInAgriculture,62.54999924
Afghanistan,1997,femalesInService,9.670000076,malesInService,26.82999992
Afghanistan,1997,femalesInIndustry,12.93000031,malesInIndustry,10.31000042
Afghanistan,1997,femalesInAgriculture,77.41000366,malesInAgriculture,62.86000061
Afghanistan,1998,femalesInService,9.75,malesInService,26.95999908
Afghanistan,1998,femalesInIndustry,12.5,malesInIndustry,9.970000267
Afghanistan,1998,femalesInAgriculture,77.75,malesInAgriculture,63.08000183
Afghanistan,1999,femalesInService,9.81000042,malesInService,27.09000015
Afghanistan,1999,femalesInIndustry,12.01000023,malesInIndustry,9.600000381
Afghanistan,1999,femalesInAgriculture,78.19000244,malesInAgriculture,63.31000137
Afghanistan,2000,femalesInService,9.819999695,malesInService,27.19000053
Afghanistan,2000,femalesInIndustry,11.39000034,malesInIndustry,9.159999847
Afghanistan,2000,femalesInAgriculture,78.79000092,malesInAgriculture,63.65000153
Afghanistan,2001,femalesInService,9.770000458,malesInService,27.27000046
Afghanistan,2001,femalesInIndustry,10.59000015,malesInIndustry,8.710000038
Afghanistan,2001,femalesInAgriculture,79.63999939,malesInAgriculture,64.01999664
Afghanistan,2002,femalesInService,9.840000153,malesInService,28.29000092
Afghanistan,2002,femalesInIndustry,11.43000031,malesInIndustry,9.75
Afghanistan,2002,femalesInAgriculture,78.72000122,malesInAgriculture,61.97000122
Afghanistan,2003,femalesInService,10.10000038,malesInService,28.70999908
Afghanistan,2003,femalesInIndustry,11.52000046,malesInIndustry,10.14999962
Afghanistan,2003,femalesInAgriculture,78.38999939,malesInAgriculture,61.15000153
Afghanistan,2004,femalesInService,9.979999542,malesInService,28.96999931
Afghanistan,2004,femalesInIndustry,11.06999969,malesInIndustry,10.52000046
